word,id,neighborto,spacetime,comment,comparisonword,distance
spent,830,short,o,,short,0.888
split,831,short,o,?,short,0.882
spring,832,short,o,,short,0.854
sr,833,short,o,,short,0.854
stable,834,short,o,,short,0.887
stage,835,short,o,,short,0.867
starring,836,short,o,,short,0.867
stay,837,short,o,,short,0.887
stories,838,short,o,,short,0.798
story,839,short,o,,short,0.807
straight,840,short,s,?,short,0.772
strange,841,short,o,,short,0.796
strip,842,short,o,,short,0.856
strips,843,short,o,,short,0.78
strong,844,short,o,,short,0.83
style,845,short,o,,short,0.852
subject,846,short,o,,short,0.802
subjects,847,short,o,,short,0.875
submarines,848,short,o,,short,0.883
successful,849,short,o,,short,0.777
suitable,850,short,o,,short,0.868
sum,851,short,o,,short,0.879
summary,852,short,o,,short,0.843
